"","SS","df","MS","F_stat","p_value"
"(1984-1985) M1","340801.68","281","1212.82","13.76","0"
"(1984-1985) M2|M1","92512.94","1","92512.94","1049.98","0"
"(1984-1985) Residual","305033.39","3462","88.11"," "," "
"(1984-1985) Total","738348.01","3744"," "," "," "
"(1985-1986) M1","384964.2","282","1365.12","15.42","0"
"(1985-1986) M2|M1","102256.86","1","102256.86","1155.22","0"
"(1985-1986) Residual","310340.94","3506","88.52"," "," "
"(1985-1986) Total","797562","3789"," "," "," "
"(1986-1987) M1","368860.08","289","1276.33","13.13","0"
"(1986-1987) M2|M1","95583.87","1","95583.87","983.67","0"
"(1986-1987) Residual","352536.05","3628","97.17"," "," "
"(1986-1987) Total","816980","3918"," "," "," "
"(1987-1988) M1","438282.37","289","1516.55","14.7","0"
"(1987-1988) M2|M1","131769.19","1","131769.19","1277.07","0"
"(1987-1988) Residual","378262.44","3666","103.18"," "," "
"(1987-1988) Total","948314","3956"," "," "," "
"(1988-1989) M1","461916.81","292","1581.91","14.76","0"
"(1988-1989) M2|M1","130056.58","1","130056.58","1213.81","0"
"(1988-1989) Residual","403302.61","3764","107.15"," "," "
"(1988-1989) Total","995276","4057"," "," "," "
"(1989-1990) M1","439572.59","291","1510.56","14.73","0"
"(1989-1990) M2|M1","126182.3","1","126182.3","1230.64","0"
"(1989-1990) Residual","385117.11","3756","102.53"," "," "
"(1989-1990) Total","950872","4048"," "," "," "
"(1990-1991) M1","540482.77","294","1838.38","16.27","0"
"(1990-1991) M2|M1","127064.87","1","127064.87","1124.84","0"
"(1990-1991) Residual","433213.36","3835","112.96"," "," "
"(1990-1991) Total","1100761","4130"," "," "," "
"(1991-1992) M1","531950.17","297","1791.08","16.03","0"
"(1991-1992) M2|M1","137892.46","1","137892.46","1234.31","0"
"(1991-1992) Residual","428767.37","3838","111.72"," "," "
"(1991-1992) Total","1098610","4136"," "," "," "
"(1992-1993) M1","452330.25","297","1523","14.4","0"
"(1992-1993) M2|M1","114226.55","1","114226.55","1079.83","0"
"(1992-1993) Residual","390335.2","3690","105.78"," "," "
"(1992-1993) Total","956892","3988"," "," "," "
"(1993-1994) M1","486355.36","300","1621.18","14.84","0"
"(1993-1994) M2|M1","130957.46","1","130957.46","1198.89","0"
"(1993-1994) Residual","411588.18","3768","109.23"," "," "
"(1993-1994) Total","1028901","4069"," "," "," "
"(1994-1995) M1","518336.78","301","1722.05","15.36","0"
"(1994-1995) M2|M1","121340.68","1","121340.68","1082.58","0"
"(1994-1995) Residual","423904.55","3782","112.08"," "," "
"(1994-1995) Total","1063582.01","4084"," "," "," "
"(1995-1996) M1","463212.21","304","1523.72","13.2","0"
"(1995-1996) M2|M1","118312.05","1","118312.05","1024.57","0"
"(1995-1996) Residual","442151.75","3829","115.47"," "," "
"(1995-1996) Total","1023676.01","4134"," "," "," "
"(1996-1997) M1","465266.92","304","1530.48","13.2","0"
"(1996-1997) M2|M1","138390.42","1","138390.42","1193.71","0"
"(1996-1997) Residual","447966.66","3864","115.93"," "," "
"(1996-1997) Total","1051624","4169"," "," "," "
"(1997-1998) M1","494423.47","305","1621.06","14.26","0"
