"","Season","School"
"1","1984-1985","Air Force"
"2","1984-1985","Akron"
"3","1984-1985","Alabama"
"4","1984-1985","Alabama-Birmingham"
"5","1984-1985","Alabama State"
"6","1984-1985","Alcorn State"
"7","1984-1985","American"
"8","1984-1985","Appalachian State"
"9","1984-1985","Arizona"
"10","1984-1985","Arizona State"
"11","1984-1985","Arkansas"
"12","1984-1985","Arkansas State"
"13","1984-1985","Army"
"14","1984-1985","Auburn"
"15","1984-1985","Augusta State"
"16","1984-1985","Austin Peay"
"17","1984-1985","Ball State"
"18","1984-1985","Baylor"
"19","1984-1985","Bethune-Cookman"
"20","1984-1985","Boise State"
"21","1984-1985","Boston College"
"22","1984-1985","Boston University"
"23","1984-1985","Bowling Green State"
"24","1984-1985","Bradley"
"25","1984-1985","Brigham Young"
"26","1984-1985","Brooklyn"
"27","1984-1985","Brown"
"28","1984-1985","Bucknell"
"29","1984-1985","Butler"
"30","1984-1985","Cal State Fullerton"
"31","1984-1985","Campbell"
"32","1984-1985","Canisius"
"33","1984-1985","Centenary (LA)"
"34","1984-1985","Central Florida"
"35","1984-1985","Central Michigan"
"36","1984-1985","Charleston Southern"
"37","1984-1985","Charlotte"
"38","1984-1985","Chattanooga"
"39","1984-1985","Chicago State"
"40","1984-1985","Cincinnati"
"41","1984-1985","Citadel"
"42","1984-1985","Clemson"
"43","1984-1985","Cleveland State"
"44","1984-1985","Colgate"
"45","1984-1985","Colorado"
"46","1984-1985","Colorado State"
"47","1984-1985","Columbia"
"48","1984-1985","Connecticut"
"49","1984-1985","Cornell"
"50","1984-1985","Creighton"
"51","1984-1985","Dartmouth"
"52","1984-1985","Davidson"
"53","1984-1985","Dayton"
"54","1984-1985","Delaware"
"55","1984-1985","Delaware State"
"56","1984-1985","DePaul"
"57","1984-1985","Detroit Mercy"
"58","1984-1985","Drake"
"59","1984-1985","Drexel"
"60","1984-1985","Duke"
"61","1984-1985","Duquesne"
"62","1984-1985","East Carolina"
"63","1984-1985","East Tennessee State"
"64","1984-1985","Eastern Illinois"
"65","1984-1985","Eastern Kentucky"
"66","1984-1985","Eastern Michigan"
"67","1984-1985","Eastern Washington"
"68","1984-1985","Evansville"
"69","1984-1985","Fairfield"
"70","1984-1985","Fairleigh Dickinson"
"71","1984-1985","Florida"
"72","1984-1985","Florida A&M"
"73","1984-1985","Florida State"
"74","1984-1985","Fordham"
"75","1984-1985","Fresno State"
"76","1984-1985","Furman"
"77","1984-1985","George Mason"
"78","1984-1985","George Washington"
"79","1984-1985","Georgetown"
"80","1984-1985","Georgia"
"81","1984-1985","Georgia Southern"
"82","1984-1985","Georgia State"
"83","1984-1985","Georgia Tech"
"84","1984-1985","Gonzaga"
"85","1984-1985","Grambling"
"86","1984-1985","Green Bay"
"87","1984-1985","Hardin-Simmons"
"88","1984-1985","Hartford"
"89","1984-1985","Harvard"
"90","1984-1985","Hawaii"
"91","1984-1985","Hofstra"
"92","1984-1985","Holy Cross"
"93","1984-1985","Houston"
"94","1984-1985","Houston Baptist"
"95","1984-1985","Howard"
"96","1984-1985","Idaho"
"97","1984-1985","Idaho State"
"98","1984-1985","Illinois"
"99","1984-1985","Illinois-Chicago"
"100","1984-1985","Illinois State"
"101","1984-1985","Indiana"
"102","1984-1985","Indiana State"
"103","1984-1985","Iona"
"104","1984-1985","Iowa"
"105","1984-1985","Iowa State"
"106","1984-1985","Jackson State"
"107","1984-1985","Jacksonville"
"108","1984-1985","James Madison"
"109","1984-1985","Kansas"
"110","1984-1985","Kansas State"
"111","1984-1985","Kent State"
"112","1984-1985","Kentucky"
"113","1984-1985","La Salle"
"114","1984-1985","Lafayette"
"115","1984-1985","Lamar"
"116","1984-1985","Lehigh"
"117","1984-1985","Little Rock"
"118","1984-1985","Long Beach State"
"119","1984-1985","Long Island University"
"120","1984-1985","Louisiana"
"121","1984-1985","Louisiana-Monroe"
"122","1984-1985","Louisiana State"
"123","1984-1985","Louisiana Tech"
"124","1984-1985","Louisville"
"125","1984-1985","Loyola (IL)"
"126","1984-1985","Loyola (MD)"
"127","1984-1985","Loyola Marymount"
"128","1984-1985","Maine"
"129","1984-1985","Manhattan"
"130","1984-1985","Marist"
"131","1984-1985","Marquette"
"132","1984-1985","Marshall"
"133","1984-1985","Maryland"
"134","1984-1985","Maryland-Eastern Shore"
"135","1984-1985","Massachusetts"
"136","1984-1985","McNeese State"
"137","1984-1985","Memphis"
"138","1984-1985","Mercer"
"139","1984-1985","Miami (OH)"
"140","1984-1985","Michigan"
"141","1984-1985","Michigan State"
"142","1984-1985","Middle Tennessee"
"143","1984-1985","Minnesota"
"144","1984-1985","Mississippi"
"145","1984-1985","Mississippi State"
"146","1984-1985","Mississippi Valley State"
"147","1984-1985","Missouri"
"148","1984-1985","Missouri State"
"149","1984-1985","Monmouth"
"150","1984-1985","Montana"
"151","1984-1985","Montana State"
"152","1984-1985","Morehead State"
"153","1984-1985","Morgan State"
"154","1984-1985","Murray State"
"155","1984-1985","Navy"
"156","1984-1985","Nebraska"
"157","1984-1985","Nevada"
"158","1984-1985","Nevada-Las Vegas"
"159","1984-1985","New Hampshire"
"160","1984-1985","New Mexico"
"161","1984-1985","New Mexico State"
"162","1984-1985","New Orleans"
"163","1984-1985","Niagara"
"164","1984-1985","Nicholls State"
"165","1984-1985","North Carolina"
"166","1984-1985","North Carolina-Wilmington"
"167","1984-1985","North Carolina A&T"
"168","1984-1985","North Carolina State"
"169","1984-1985","North Texas"
"170","1984-1985","Northeastern"
"171","1984-1985","Northern Arizona"
"172","1984-1985","Northern Illinois"
"173","1984-1985","Northern Iowa"
"174","1984-1985","Northwestern"
"175","1984-1985","Northwestern State"
"176","1984-1985","Notre Dame"
"177","1984-1985","Ohio"
"178","1984-1985","Ohio State"
"179","1984-1985","Oklahoma"
"180","1984-1985","Oklahoma City"
"181","1984-1985","Oklahoma State"
"182","1984-1985","Old Dominion"
"183","1984-1985","Oral Roberts"
"184","1984-1985","Oregon"
"185","1984-1985","Oregon State"
"186","1984-1985","Pacific"
"187","1984-1985","Penn State"
"188","1984-1985","Pennsylvania"
"189","1984-1985","Pepperdine"
"190","1984-1985","Pittsburgh"
"191","1984-1985","Portland"
"192","1984-1985","Prairie View"
"193","1984-1985","Princeton"
"194","1984-1985","Providence"
"195","1984-1985","Purdue"
"196","1984-1985","Radford"
"197","1984-1985","Rhode Island"
"198","1984-1985","Rice"
"199","1984-1985","Richmond"
"200","1984-1985","Rider"
"201","1984-1985","Robert Morris"
"202","1984-1985","Rutgers"
"203","1984-1985","Saint Francis (PA)"
"204","1984-1985","Saint Joseph's"
"205","1984-1985","Saint Louis"
"206","1984-1985","Saint Mary's (CA)"
"207","1984-1985","Saint Peter's"
"208","1984-1985","Samford"
"209","1984-1985","San Diego"
"210","1984-1985","San Diego State"
"211","1984-1985","San Jose State"
"212","1984-1985","Santa Clara"
"213","1984-1985","Seton Hall"
"214","1984-1985","Siena"
"215","1984-1985","South Alabama"
"216","1984-1985","South Carolina"
"217","1984-1985","South Carolina State"
"218","1984-1985","South Florida"
"219","1984-1985","Southeastern Louisiana"
"220","1984-1985","Southern"
"221","1984-1985","Southern California"
"222","1984-1985","Southern Illinois"
"223","1984-1985","Southern Methodist"
"224","1984-1985","Southern Mississippi"
"225","1984-1985","St. Bonaventure"
"226","1984-1985","St. Francis (NY)"
"227","1984-1985","St. John's (NY)"
"228","1984-1985","Stanford"
"229","1984-1985","Stetson"
"230","1984-1985","Syracuse"
"231","1984-1985","Temple"
"232","1984-1985","Tennessee"
"233","1984-1985","Tennessee State"
"234","1984-1985","Tennessee Tech"
"235","1984-1985","Texas"
"236","1984-1985","Texas-Arlington"
"237","1984-1985","Texas-El Paso"
"238","1984-1985","Texas-Rio Grande Valley"
"239","1984-1985","Texas-San Antonio"
"240","1984-1985","Texas A&M"
"241","1984-1985","Texas Christian"
"242","1984-1985","Texas Southern"
"243","1984-1985","Texas State"
