"team_name" "team_id" "year" "Season" "opponent_id" "Indicator"
"A&M-Corpus Christi" 26172 2002 "2001-2002" 26172 1
"A&M-Corpus Christi" 26172 2003 "2002-2003" 26172 1
"A&M-Corpus Christi" 26172 2004 "2003-2004" 26172 1
"A&M-Corpus Christi" 26172 2005 "2004-2005" 26172 1
"A&M-Corpus Christi" 26172 2006 "2005-2006" 26172 1
"A&M-Corpus Christi" 26172 2007 "2006-2007" 26172 1
"A&M-Corpus Christi" 26172 2008 "2007-2008" 26172 1
"A&M-Corpus Christi" 26172 2009 "2008-2009" 26172 1
"A&M-Corpus Christi" 26172 2010 "2009-2010" 26172 1
"A&M-Corpus Christi" 26172 2011 "2010-2011" 26172 1
"A&M-Corpus Christi" 26172 2012 "2011-2012" 26172 1
"A&M-Corpus Christi" 26172 2013 "2012-2013" 26172 1
"A&M-Corpus Christi" 26172 2014 "2013-2014" 26172 1
"A&M-Corpus Christi" 26172 2015 "2014-2015" 26172 1
"A&M-Corpus Christi" 26172 2016 "2015-2016" 26172 1
"A&M-Corpus Christi" 26172 2017 "2016-2017" 26172 1
"A&M-Corpus Christi" 26172 2018 "2017-2018" 26172 1
"A&M-Corpus Christi" 26172 2019 "2018-2019" 26172 1
"Abilene Christian" 2 2014 "2013-2014" 2 1
"Abilene Christian" 2 2015 "2014-2015" 2 1
"Abilene Christian" 2 2016 "2015-2016" 2 1
"Abilene Christian" 2 2017 "2016-2017" 2 1
"Abilene Christian" 2 2018 "2017-2018" 2 1
"Abilene Christian" 2 2019 "2018-2019" 2 1
"Air Force" 721 1981 "1980-1981" 721 1
"Air Force" 721 1982 "1981-1982" 721 1
"Air Force" 721 1997 "1996-1997" 721 1
"Air Force" 721 1998 "1997-1998" 721 1
"Air Force" 721 1999 "1998-1999" 721 1
"Air Force" 721 2000 "1999-2000" 721 1
"Air Force" 721 2001 "2000-2001" 721 1
"Air Force" 721 2002 "2001-2002" 721 1
"Air Force" 721 2003 "2002-2003" 721 1
"Air Force" 721 2004 "2003-2004" 721 1
"Air Force" 721 2005 "2004-2005" 721 1
"Air Force" 721 2006 "2005-2006" 721 1
"Air Force" 721 2007 "2006-2007" 721 1
"Air Force" 721 2008 "2007-2008" 721 1
"Air Force" 721 2009 "2008-2009" 721 1
"Air Force" 721 2010 "2009-2010" 721 1
"Air Force" 721 2011 "2010-2011" 721 1
"Air Force" 721 2012 "2011-2012" 721 1
"Air Force" 721 2013 "2012-2013" 721 1
"Air Force" 721 2014 "2013-2014" 721 1
"Air Force" 721 2015 "2014-2015" 721 1
"Air Force" 721 2016 "2015-2016" 721 1
"Air Force" 721 2017 "2016-2017" 721 1
"Air Force" 721 2018 "2017-2018" 721 1
"Air Force" 721 2019 "2018-2019" 721 1
"Akron" 5 1982 "1981-1982" 5 1
"Akron" 5 1983 "1982-1983" 5 1
"Akron" 5 1984 "1983-1984" 5 1
"Akron" 5 1985 "1984-1985" 5 1
"Akron" 5 1986 "1985-1986" 5 1
"Akron" 5 1987 "1986-1987" 5 1
"Akron" 5 1988 "1987-1988" 5 1
"Akron" 5 1989 "1988-1989" 5 1
"Akron" 5 1990 "1989-1990" 5 1
"Akron" 5 1991 "1990-1991" 5 1
"Akron" 5 1992 "1991-1992" 5 1
"Akron" 5 1993 "1992-1993" 5 1
"Akron" 5 1994 "1993-1994" 5 1
"Akron" 5 1995 "1994-1995" 5 1
"Akron" 5 1996 "1995-1996" 5 1
"Akron" 5 1997 "1996-1997" 5 1
"Akron" 5 1998 "1997-1998" 5 1
"Akron" 5 1999 "1998-1999" 5 1
"Akron" 5 2000 "1999-2000" 5 1
"Akron" 5 2001 "2000-2001" 5 1
"Akron" 5 2002 "2001-2002" 5 1
"Akron" 5 2003 "2002-2003" 5 1
"Akron" 5 2004 "2003-2004" 5 1
"Akron" 5 2005 "2004-2005" 5 1
"Akron" 5 2006 "2005-2006" 5 1
"Akron" 5 2007 "2006-2007" 5 1
"Akron" 5 2008 "2007-2008" 5 1
"Akron" 5 2009 "2008-2009" 5 1
"Akron" 5 2010 "2009-2010" 5 1
"Akron" 5 2011 "2010-2011" 5 1
"Akron" 5 2012 "2011-2012" 5 1
"Akron" 5 2013 "2012-2013" 5 1
"Akron" 5 2014 "2013-2014" 5 1
"Akron" 5 2015 "2014-2015" 5 1
"Akron" 5 2016 "2015-2016" 5 1
"Akron" 5 2017 "2016-2017" 5 1
"Akron" 5 2018 "2017-2018" 5 1
"Akron" 5 2019 "2018-2019" 5 1
"Alabama" 8 1982 "1981-1982" 8 1
"Alabama" 8 1983 "1982-1983" 8 1
"Alabama" 8 1984 "1983-1984" 8 1
"Alabama" 8 1985 "1984-1985" 8 1
"Alabama" 8 1986 "1985-1986" 8 1
"Alabama" 8 1987 "1986-1987" 8 1
"Alabama" 8 1988 "1987-1988" 8 1
"Alabama" 8 1989 "1988-1989" 8 1
"Alabama" 8 1990 "1989-1990" 8 1
"Alabama" 8 1991 "1990-1991" 8 1
"Alabama" 8 1992 "1991-1992" 8 1
"Alabama" 8 1993 "1992-1993" 8 1
"Alabama" 8 1994 "1993-1994" 8 1
"Alabama" 8 1995 "1994-1995" 8 1
"Alabama" 8 1996 "1995-1996" 8 1
"Alabama" 8 1997 "1996-1997" 8 1
"Alabama" 8 1998 "1997-1998" 8 1
"Alabama" 8 1999 "1998-1999" 8 1
"Alabama" 8 2000 "1999-2000" 8 1
"Alabama" 8 2001 "2000-2001" 8 1
"Alabama" 8 2002 "2001-2002" 8 1
"Alabama" 8 2003 "2002-2003" 8 1
"Alabama" 8 2004 "2003-2004" 8 1
"Alabama" 8 2005 "2004-2005" 8 1
"Alabama" 8 2006 "2005-2006" 8 1
"Alabama" 8 2007 "2006-2007" 8 1
"Alabama" 8 2008 "2007-2008" 8 1
"Alabama" 8 2009 "2008-2009" 8 1
"Alabama" 8 2010 "2009-2010" 8 1
"Alabama" 8 2011 "2010-2011" 8 1
"Alabama" 8 2012 "2011-2012" 8 1
"Alabama" 8 2013 "2012-2013" 8 1
"Alabama" 8 2014 "2013-2014" 8 1
"Alabama" 8 2015 "2014-2015" 8 1
"Alabama" 8 2016 "2015-2016" 8 1
"Alabama" 8 2017 "2016-2017" 8 1
"Alabama" 8 2018 "2017-2018" 8 1
"Alabama" 8 2019 "2018-2019" 8 1
"Alabama A&M" 6 2000 "1999-2000" 6 1
"Alabama A&M" 6 2002 "2001-2002" 6 1
"Alabama A&M" 6 2003 "2002-2003" 6 1
"Alabama A&M" 6 2004 "2003-2004" 6 1
"Alabama A&M" 6 2005 "2004-2005" 6 1
"Alabama A&M" 6 2006 "2005-2006" 6 1
"Alabama A&M" 6 2007 "2006-2007" 6 1
"Alabama A&M" 6 2008 "2007-2008" 6 1
"Alabama A&M" 6 2009 "2008-2009" 6 1
"Alabama A&M" 6 2010 "2009-2010" 6 1
"Alabama A&M" 6 2011 "2010-2011" 6 1
"Alabama A&M" 6 2012 "2011-2012" 6 1
"Alabama A&M" 6 2013 "2012-2013" 6 1
"Alabama A&M" 6 2014 "2013-2014" 6 1
"Alabama A&M" 6 2015 "2014-2015" 6 1
"Alabama A&M" 6 2016 "2015-2016" 6 1
"Alabama A&M" 6 2017 "2016-2017" 6 1
"Alabama A&M" 6 2018 "2017-2018" 6 1
"Alabama A&M" 6 2019 "2018-2019" 6 1
"Alabama St." 7 1984 "1983-1984" 7 1
"Alabama St." 7 1985 "1984-1985" 7 1
"Alabama St." 7 1986 "1985-1986" 7 1
"Alabama St." 7 1987 "1986-1987" 7 1
"Alabama St." 7 1988 "1987-1988" 7 1
"Alabama St." 7 1989 "1988-1989" 7 1
"Alabama St." 7 1990 "1989-1990" 7 1
"Alabama St." 7 1991 "1990-1991" 7 1
"Alabama St." 7 1992 "1991-1992" 7 1
"Alabama St." 7 1993 "1992-1993" 7 1
"Alabama St." 7 1994 "1993-1994" 7 1
"Alabama St." 7 1995 "1994-1995" 7 1
"Alabama St." 7 1996 "1995-1996" 7 1
"Alabama St." 7 1997 "1996-1997" 7 1
"Alabama St." 7 1998 "1997-1998" 7 1
"Alabama St." 7 1999 "1998-1999" 7 1
"Alabama St." 7 2000 "1999-2000" 7 1
"Alabama St." 7 2001 "2000-2001" 7 1
"Alabama St." 7 2002 "2001-2002" 7 1
"Alabama St." 7 2003 "2002-2003" 7 1
"Alabama St." 7 2004 "2003-2004" 7 1
"Alabama St." 7 2005 "2004-2005" 7 1
"Alabama St." 7 2006 "2005-2006" 7 1
"Alabama St." 7 2007 "2006-2007" 7 1
"Alabama St." 7 2008 "2007-2008" 7 1
"Alabama St." 7 2009 "2008-2009" 7 1
"Alabama St." 7 2010 "2009-2010" 7 1
