"","SS","df","MS","F_stat","p_value"
"(2001-2002) M1","888077.93","320","2775.24","21.9","0"
"(2001-2002) M2|M1","114350.21","1","114350.21","902.37","0"
"(2001-2002) Residual","534259.86","4216","126.72"," "," "
"(2001-2002) Total","1536688","4537"," "," "," "
"(2002-2003) M1","895659.76","323","2772.94","22.84","0"
"(2002-2003) M2|M1","119762.2","1","119762.2","986.51","0"
"(2002-2003) Residual","522385.04","4303","121.4"," "," "
"(2002-2003) Total","1537807","4627"," "," "," "
"(2003-2004) M1","784567.23","323","2429","21","0"
"(2003-2004) M2|M1","107106.04","1","107106.04","926.03","0"
"(2003-2004) Residual","495379.74","4283","115.66"," "," "
"(2003-2004) Total","1387053.01","4607"," "," "," "
"(2004-2005) M1","808342.42","326","2479.58","21.06","0"
"(2004-2005) M2|M1","122088.61","1","122088.61","1036.99","0"
"(2004-2005) Residual","507194.97","4308","117.73"," "," "
"(2004-2005) Total","1437626","4635"," "," "," "
"(2005-2006) M1","798068","330","2418.39","20.85","0"
"(2005-2006) M2|M1","117117.08","1","117117.08","1009.85","0"
"(2005-2006) Residual","506693.92","4369","115.97"," "," "
"(2005-2006) Total","1421879","4700"," "," "," "
"(2006-2007) M1","866142.01","333","2601.03","22.54","0"
"(2006-2007) M2|M1","120040.65","1","120040.65","1040.12","0"
"(2006-2007) Residual","535391.34","4639","115.41"," "," "
"(2006-2007) Total","1521574","4973"," "," "," "
"(2007-2008) M1","913994.15","336","2720.22","22.44","0"
"(2007-2008) M2|M1","108085.48","1","108085.48","891.55","0"
"(2007-2008) Residual","573555.37","4731","121.23"," "," "
"(2007-2008) Total","1595635","5068"," "," "," "
"(2008-2009) M1","881817.08","338","2608.93","23.19","0"
"(2008-2009) M2|M1","125177.28","1","125177.28","1112.78","0"
"(2008-2009) Residual","532528.63","4734","112.49"," "," "
"(2008-2009) Total","1539522.99","5073"," "," "," "
"(2009-2010) M1","937121","344","2724.19","24.06","0"
"(2009-2010) M2|M1","132685.56","1","132685.56","1171.74","0"
"(2009-2010) Residual","550451.44","4861","113.24"," "," "
"(2009-2010) Total","1620258","5206"," "," "," "
"(2010-2011) M1","1020135.52","343","2974.16","24.59","0"
"(2010-2011) M2|M1","128102.38","1","128102.38","1059.13","0"
"(2010-2011) Residual","585520.1","4841","120.95"," "," "
"(2010-2011) Total","1733758","5185"," "," "," "
"(2011-2012) M1","943091.2","342","2757.58","23.44","0"
"(2011-2012) M2|M1","115033.09","1","115033.09","977.63","0"
"(2011-2012) Residual","567497.71","4823","117.66"," "," "
"(2011-2012) Total","1625622","5166"," "," "," "
"(2012-2013) M1","944890.33","344","2746.77","23.39","0"
"(2012-2013) M2|M1","109144.13","1","109144.13","929.45","0"
"(2012-2013) Residual","572937.53","4879","117.43"," "," "
"(2012-2013) Total","1626971.99","5224"," "," "," "
"(2013-2014) M1","957208.74","348","2750.6","21.81","0"
"(2013-2014) M2|M1","120575.25","1","120575.25","955.9","0"
"(2013-2014) Residual","623499","4943","126.14"," "," "
"(2013-2014) Total","1701282.99","5292"," "," "," "
"(2014-2015) M1","917673.54","348","2636.99","21.92","0"
"(2014-2015) M2|M1","113384.25","1","113384.25","942.48","0"
"(2014-2015) Residual","589733.21","4902","120.3"," "," "
"(2014-2015) Total","1620791","5251"," "," "," "
"(2015-2016) M1","1007302.33","348","2894.55","24.38","0"
"(2015-2016) M2|M1","117182.98","1","117182.98","987.18","0"
"(2015-2016) Residual","581058.69","4895","118.7"," "," "
"(2015-2016) Total","1705544","5244"," "," "," "
"(2016-2017) M1","1054488.5","348","3030.14","24.78","0"
"(2016-2017) M2|M1","112095.92","1","112095.92","916.82","0"
"(2016-2017) Residual","597755.58","4889","122.27"," "," "
"(2016-2017) Total","1764340","5238"," "," "," "
"(2017-2018) M1","1086549.45","348","3122.27","24.07","0"
"(2017-2018) M2|M1","94891.13","1","94891.13","731.65","0"
"(2017-2018) Residual","634600.42","4893","129.7"," "," "
"(2017-2018) Total","1816041","5242"," "," "," "
"(2018-2019) M1","1059672.77","350","3027.64","24.24","0"
"(2018-2019) M2|M1","111986.02","1","111986.02","896.45","0"
"(2018-2019) Residual","614986.21","4923","124.92"," "," "
"(2018-2019) Total","1786645","5274"," "," "," "
